Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers,Lyricist(s),Composer(s),DateMonthyear
Tossin' and Turnin',Bobby Lewis,"April 30, 1961",R&B,2:29,Beltone,"Ritchie Adams, Malou René",Joe René,,,30 04 1961
Total Eclipse of the Heart,Bonnie Tyler,11 February 1983,"Pop rock, power pop",6:58,"CBS, Columbia",Jim Steinman,Jim Steinman,,,11 February 1983
Touch Me in the Morning,Diana Ross,"May 3, 1973","Pop, adult contemporary",3:26,Motown,"Ron Miller, Michael Masser","Michael Masser, Tom Baird",,,03 05 1973
Touch My Body,Mariah Carey,"February 12, 2008","Pop, R&B",3:24,Island,"Mariah Carey, Crystal Johnson, Terius Nash, Christopher Stewart","Mariah Carey, Tricky Stewart",,,12 02 2008
Toy Soldiers,Martika,"April 26, 1989",Pop rock,4:47,Columbia,"Martika, Michael Jay",Michael Jay,,,26 04 1989
To Be with You,Mr. Big,"November 22, 1991","Glam metal, soft rock",3:27,Atlantic,"Eric Martin, David Grahame",Kevin Elson,,,22 11 1991
To Know Him Is to Love Him,The Teddy Bears,September 1958,Pop,2:18,Doré,Phil Spector,,,,September 1958
To Sir with Love,Lulu,September 1967,Pop,2:47,Epic,,Mickie Most,Don Black,Mark London,September 1967
Tragedy,Bee Gees,February 1979,"Dance-rock, disco",5:03,RSO,"Barry, Robin, Maurice Gibb","Bee Gees, Albhy Galuten, Karl Richardson",,,February 1979
Travelin' Man,Ricky Nelson,April 1961,"Pop, doo-wop",2:24,"Imperial Records, #5741",Jerry Fuller,Joe Johnson (Challenge Records),,,April 1961
Trollz,"6ix9ine, Nicki Minaj","June 12, 2020",Hip hop,3:223,"Scumgang, Create, 10K Projects","Daniel Hernandez, Onika Maraj, Jeremiah Raisen, Aaron Clarke","SadPony, Jahnei Clarke (co.)",,,12 06 2020
True Colors,Cyndi Lauper,"August 15, 1986",Synth-rock,3:46,Epic,"Tom Kelly, Billy Steinberg","Cyndi Lauper, Lennie Petze",,,15 08 1986
Truly Madly Deeply,Savage Garden,3 March 1997,Pop,4:37,"Roadshow Music, Warner Music","Darren Hayes, Daniel Jones",Charles Fisher,,,3 March 1997
Truly,Lionel Richie,September 1982,Pop,3:26,Motown,Lionel Richie,"Lionel Richie, , James Anthony Carmichael",,,September 1982
Truth Hurts,Lizzo,"September 19, 2017","Trap, hip hop, pop",2:53,"Atlantic, Nice Life","Melissa Jefferson, Eric Frederic, Jesse Saint John, Steven Cheung, Amina Bogle-Barriteau","Ricky Reed, Tele, (co.)",,,19 09 2017
Try Again,Aaliyah,"March 21, 2000","R&B, electro, dance-pop, trip hop",4:45,"Blackground, Virgin","Timothy Mosley, Stephen Garrett",Timbaland,,,21 03 2000
Try That in a Small Town,Jason Aldean,"May 22, 2023",Country,3:01,BBR,"Kelley Lovelace, Neil Thrasher, Tully Kennedy, Kurt Allison",Michael Knox,,,22 05 2023
TSOP,"MFSB, The Three Degrees","February 6, 1974","Philadelphia soul, disco",3:43,Philadelphia International Records,Gamble and Huff,Kenneth Gamble and Leon Huff,,,06 02 1974
Turn! Turn! Turn!,the Byrds,"October 1, 1965","Folk rock, jangle pop",3:49,Columbia,"Pete Seeger, words from the, Book of Ecclesiastes",Terry Melcher,,,01 10 1965
Two Hearts,Phil Collins,14 November 1988,"Pop, soul",3:23,"Atlantic, Virgin, WEA","Phil Collins, Lamont Dozier","Phil Collins, Lamont Dozier",,,14 November 1988
Umbrella,"Rihanna, Jay-Z","March 29, 2007","Pop, hip hop, R&B",4:36,"Def Jam, SRP","Christopher Stewart, Terius Nash, Kuk Harrell, Shawn Carter",Tricky Stewart,,,29 03 2007
Unbelievable,EMF,22 October 1990,"Dance-rock, alternative rock, alternative dance",3:30,"Parlophone, (UK), EMI, (US)",EMF,Ralph Jezzard,,,22 October 1990
Uncle Albert/Admiral Halsey,"Paul, Linda McCartney",2 August 1971,Progressive pop,4:49,Apple,Paul and Linda McCartney,Paul and Linda McCartney,,,2 August 1971
Undercover Angel,Alan O'Day,February 1977,Pop,4:12,Pacific,Alan O'Day,"Steve Barri, and, Michael Omartian",,,February 1977
Unholy,"Sam Smith, Kim Petras","September 22, 2022","Electropop, synth-pop, dance-pop, EDM",2:36,"Capitol, EMI","Sam Smith, Kim Petras, James Napier, Ilya Salmanzadeh, Henry Walter, Blake Slatkin, Omer Fedi","Sam Smith, Kim Petras, Ilya, Cirkut, Slatkin, Fedi, Jimmy Napes",,,22 09 2022
Unpretty,TLC,"May 17, 1999","Pop rock, alternative rock, R&B",4:38,"LaFace, Arista","Dallas Austin, Tionne Watkins",Dallas Austin,,,17 05 1999
Un-Break My Heart,Toni Braxton,"October 7, 1996","Pop, R&B",4:30,LaFace,Diane Warren,David Foster,,,07 10 1996
Upside Down,Diana Ross,"June 18, 1980","Disco, pop",4:05,Motown,"Nile Rodgers, Bernard Edwards","Nile Rodgers, Bernard Edwards",,,18 06 1980
Uptown Funk,"Mark Ronson, Bruno Mars",10 November 2014,"Funk, -, pop, soul, boogie, disco-pop, Minneapolis sound",4:30,"Columbia, Sony, RCA","Mark Ronson, Bruno Mars, Philip Lawrence, Jeff Bhasker, Nicholas Williams, Devon Gallaspy, Charles Wilson, Robert Wilson, Ronnie Wilson, Rudolph Taylor, Lonnie Simmons","Mark Ronson, Jeff Bhasker, Bruno Mars",,,10 November 2014
Up Where We Belong,"Joe Cocker, Jennifer Warnes","July 22, 1982","Pop, soft rock, easy listening",4:00,Island,,Stewart Levine,Will Jennings,"Jack Nitzsche, Buffy Sainte-Marie",22 07 1982
Up,Cardi B,"February 5, 2021","Hip-hop, trap, pop-rap",2:36,Atlantic,"Joshua Baker, Jorden Thorpe, Edis Selmani, CEO Mark Savage, James Steed, Matthew Allen","Yung Dza, DJ SwanQo, Sean Island, DJ Prince",,,05 02 2021
U Got It Bad,Usher,"August 21, 2001",R&B,4:07,"Arista, LaFace","Usher Raymond IV, Jermaine Dupri, Bryan-Michael Cox",Jermaine Dupri,,,21 08 2001
U Remind Me,Usher,"May 22, 2001",R&B,4:27,Arista,"Anita McCloud, Edmund Clement","Edmund Clement, Jimmy Jam & Terry Lewis",,,22 05 2001
Vampire,Olivia Rodrigo,"June 30, 2023","Pop rock, pop",3:39,"Geffen, Interscope","Olivia Rodrigo, Dan Nigro",Dan Nigro,,,30 06 2023
Venus,Frankie Avalon,January 1959,Pop,2:20,Chancellor,Ed Marshall,,,,January 1959
Venus,Shocking Blue,14 July 1969,"Country rock, dance-rock, psychedelic rock",3:08,Pink Elephant,Robbie van Leeuwen,Robbie van Leeuwen,,,14 July 1969
Vision of Love,Mariah Carey,"May 15, 1990","Pop, soul, R&B",3:29,Columbia,"Mariah Carey, Ben Margulies","Rhett Lawrence, Narada Michael Walden",,,15 05 1990
Viva la Vida,Coldplay,7 May 2008,"Baroque pop, orchestral pop, art rock",4:01,"Parlophone, Capitol","Guy Berryman, Jonny Buckland, Will Champion, Chris Martin","Markus Dravs, Brian Eno, Jon Hopkins, Rik Simpson",,,7 May 2008
Vogue,Madonna,"March 20, 1990",House,4:49,"Sire, Warner Bros.","Madonna, Shep Pettibone","Madonna, Shep Pettibone",,,20 03 1990
Wait for U,"Future, Drake, Tems","May 3, 2022",R&B,3:10,"Epic, Freebandz","Nayvadius Wilburn, Aubrey Graham, Temilade Openiyi, Michael Mule, Isaac De Boni, Floyd E, Bentley III, Jacob Canady, Tejiri Akpoghene","ATL Jacob, FnZ",,,03 05 2022
Wake Me Up Before You Go-Go,Wham!,14 May 1984,Bubblegum pop,3:50,"Columbia, Epic",George Michael,George Michael,,,14 May 1984
Walk Like an Egyptian,The Bangles,"September 1, 1986","Pop rock, new wave, novelty",3:24,"Columbia, Bangle-a-lang Music",Liam Sternberg,David Kahne,,,01 09 1986
Walk Like a Man,The Four Seasons,January 1963,"Rock and roll, pop, doo-wop",2:17,Vee-Jay,"Bob Crewe, Bob Gaudio",Bob Crewe,,,January 1963
Walk Right In,the Rooftop Singers,December 1962,"Folk, folk-pop, novelty",2:33,Vanguard,"Gus Cannon, Hosea Woods","Erik Darling, , Bill Svanoe",,,December 1962
Wannabe,Spice Girls,26 June 1996,Dance-pop,2:54,Virgin,"Spice Girls, Matt Rowe, Richard Stannard","Matt Rowe, Richard Stannard",,,26 June 1996
Want Ads,Honey Cone,March 1971,"R&B, soul, funk",3:50,Hot Wax,"Greg Perry, Barney Perkins, General Norman Johnson",Greg Perry,,,March 1971
WAP,"Cardi B, Megan Thee Stallion","August 7, 2020","Hip hop, dirty rap, trap",3:07,Atlantic,"Belcalis Almanzar, Megan Pete, Austin Owens, James Foye III, Frank Rodriguez, Jorden Thorpe","Ayo the Producer, Keyz",,,07 08 2020
War,The Temptations,"March 6, 1970",Progressive soul,3:11,Gordy,"Norman Whitfield, Barrett Strong",Norman Whitfield,,,06 03 1970
Waterfalls,TLC,May 1995,"R&B, hip hop, pop",4:40,"LaFace, Arista","Marqueze Etheridge, Lisa Lopes, Organized Noize",Organized Noize,,,May 1995
Watermelon Sugar,Harry Styles,18 May 2020,"Rock, funk, -, pop",2:53,"Erskine, Columbia","Harry Styles, Mitch Rowland, Tyler Johnson, Thomas Hull","Johnson, Kid Harpoon",,,18 May 2020
Way 2 Sexy,"Drake, Future, Young Thug","September 3, 2021","Comedy rap, trap",4:18,"Republic, OVO","Aubrey Graham, Nayvadius Wilburn, Jeffery Williams, Bryan Simmons, Lesidney Ragland, Fred Fairbrass, Richard Fairbrass, Robert Manzoli","TM88, Too Dope",,,03 09 2021
Weak,SWV,"April 16, 1993",,4:51,RCA,Brian Alexander Morgan,Brian Alexander Morgan,,,16 04 1993
Wedding Bell Blues,The 5th Dimension,September 1969,"Soul, bubblegum pop, Sunshine Pop",2:42,Soul City,Laura Nyro,Bones Howe,,,September 1969
Welcome Back,John Sebastian,March 1976,"Folk rock, blues rock",2:51,Reprise,John Sebastian,"Steve Barri, , John Sebastian",,,March 1976
West End Girls,Pet Shop Boys,9 April 1984,Synth-pop,4:45,Bobcat,"Neil Tennant, Chris Lowe",Bobby Orlando,,,9 April 1984
We Are Never Ever Getting Back Together,Taylor Swift,"August 13, 2012","Bubblegum pop, dance-pop, europop, electropop, pop rock, electro-folk",3:12,Big Machine,"Taylor Swift, Max Martin, Shellback","Max Martin, Shellback, Taylor Swift",,,13 08 2012
We Are the World,,"March 7, 1985","Pop, gospel",7:02,"Columbia, CBS","Michael Jackson, Lionel Richie","Quincy Jones, Michael Omartian",,,07 03 1985
We Are Young,"Fun, Janelle Monáe","September 20, 2011","Arena rock, indie rock, indie pop",4:10,"Fueled by Ramen, Nettwerk, Atlantic","Jack Antonoff, Jeff Bhasker, Andrew Dost, Nathaniel Ruess",Jeff Bhasker,,,20 09 2011
We Belong Together,Mariah Carey,"March 15, 2005",R&B,3:21,Island Def Jam,"Mariah Carey, Jermaine Dupri, Manuel Seal, Johntá Austin, Kenneth Edmonds, Darnell Bristol, Bobby Womack, Patrick Moten, Sandra Sully","Mariah Carey, Jermaine Dupri, Manuel Seal",,,15 03 2005
We Built This City,Starship,"August 26, 1985","Dance-rock, synth-rock",4:53,"Grunt,  RCA","Bernie Taupin, Martin Page, Dennis Lambert, Peter Wolf","Peter Wolf, Jeremy Smith",,,26 08 1985
We Can't Be Friends,Ariana Grande,"March 8, 2024","Synth-pop, EDM",3:48,Republic,"Ariana Grande, Max Martin, Ilya Salmanzadeh","Ariana Grande, Max Martin, Ilya",,,08 03 2024
We Can Work It Out,the Beatles,3 December 1965,Folk rock,2:15,"Parlophone, (UK),  Capitol, (US)",Lennon–McCartney,George Martin,,,3 December 1965
We Didn't Start the Fire,Billy Joel,"September 18, 1989",Pop rock,4:49,Columbia,Billy Joel,"Mick Jones, Billy Joel",,,18 09 1989
We Don't Talk About Bruno,"Carolina Gaitán, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto","November 19, 2021","Salsa, Latin pop",3:36,Walt Disney,Lin-Manuel Miranda,"Lin-Manuel Miranda, Mike Elizondo",,,19 11 2021
We Found Love,"Rihanna, Calvin Harris","September 22, 2011","Electro house, pop",3:35,"Def Jam, SRP",Calvin Harris,Calvin Harris,,,22 09 2011
We're an American Band,Grand Funk Railroad,"July 2, 1973",Hard rock,3:263,Capitol,Don Brewer,Todd Rundgren,,,02 07 1973
We R Who We R,Kesha,"October 22, 2010","Dance-pop, EDM, techno",3:24,RCA,"Kesha Sebert, Joshua Coleman, Lukasz Gottwald, Jacob Kasher Hindlin, Benjamin Levin","Dr. Luke, Benny Blanco, Ammo",,,22 10 2010
Whatcha Say,Jason Derulo,"May 5, 2009","Pop, R&B",3:42,"Beluga Heights, Asylum, Warner Bros.","Jason Desrouleaux, Kisean Anderson, Achraf Baachaoui, J-Lex, Leff Row, J.R, Rotem, Imogen Heap","J.R. Rotem, Fuego",,,05 05 2009
Whatever Gets You thru the Night,John Lennon,23 September 1974,"Pop, funk, R&B",3:27,Apple,John Lennon,John Lennon,,,23 September 1974
Whatever You Like,T.I.,"July 29, 2008","Pop-rap, Southern hip hop",4:09,"Grand Hustle, Atlantic","Clifford Harris, James Scheffer, David Siegel",Jim Jonsin,,,29 07 2008
What a Fool Believes,Kenny Loggins,"July 12, 1978",Soft rock,3:37,Columbia,"Kenny Loggins, Michael McDonald",Bob James,,,12 07 1978
What a Girl Wants,Christina Aguilera,"September 4, 1999","Teen pop, R&B",3:52,"Arista Records, RCA","Shelly Peiken, Guy Roche",Guy Roche,,,04 09 1999
What Do You Mean?,Justin Bieber,"August 28, 2015","Pop, tropical house",3:26,Def Jam,"Justin Bieber, Jason Boyd, Mason Levy","MdL, Bieber",,,28 08 2015
What Goes Around... Comes Around,Justin Timberlake,"December 19, 2006","Psychedelic pop, sophisti-pop",7:29,"Jive, Zomba","Justin Timberlake, Tim Mosley, Nate, Danja, Hills","Timbaland, Justin Timberlake, Nate ""Danja"" Hills",,,19 12 2006
What's Love Got to Do with It,Tina Turner,May 1984,"Pop rock, R&B",3:48,Capitol,"Graham Lyle, Terry Britten",Terry Britten,,,May 1984
What's My Name?,"Rihanna, Drake","October 25, 2010","Electro, -, R&B",4:23,"Def Jam, SRP","Mikkel S, Eriksen, Tor Erik Hermansen, Ester Dean, Traci Hale, Aubrey Graham","Stargate, Kuk Harrell",,,25 10 2010
What's Next,Drake,"March 5, 2021",Trap,2:58,"Republic, OVO","Aubrey Graham, Jonathan Priester, Maneesh Bidaye","Maneesh, Supah Mario",,,05 03 2021
When a Man Loves a Woman,Percy Sledge,March 1966,"Soul, Southern soul",2:51,Atlantic,"Calvin Lewis, Andrew Wright","Marlin Greene, , Quin Ivy",,,March 1966
When Doves Cry,Prince,"May 16, 1984","Experimental pop, neo-psychedelia, soul, avant-pop, synth-pop, funk",3:47,Warner Bros.,Prince,Prince,,,16 05 1984
When I'm with You,Sheriff,January 1983,Soft rock,3:58,Capitol,Arnold Lanni,Stacy Heydon,,,January 1983
When I Need You,Leo Sayer,February 1977,Soft rock,4:09,"Chrysalis, (UK), Warner Bros., (US)","Albert Hammond, Carole Bayer Sager",Richard Perry,,,February 1977
When I See You Smile,Bad English,"August 30, 1989","Glam metal, pop rock",4:17,Epic,Diane Warren,Richie Zito,,,30 08 1989
When I Think of You,Janet Jackson,"July 28, 1986","Dance-pop, R&B, synth-funk",3:56,A&M,"James Harris III, Terry Lewis",Jimmy Jam and Terry Lewis,,,28 07 1986
When I Was Your Man,Bruno Mars,"January 15, 2013",Pop,3:34,Atlantic,"Bruno Mars, Philip Lawrence, Ari Levine, Andrew Wyatt",The Smeezingtons,,,15 01 2013
Where Did Our Love Go,the Supremes,"June 17, 1964","Pop-soul, pop, R&B",2:33,Motown,Holland–Dozier–Holland,"Brian Holland, Lamont Dozier",,,17 06 1964
Where Do Broken Hearts Go,Whitney Houston,February 1988,"Pop, soul, R&B",4:38,Arista,"Frank Wildhorn, Chuck Jackson",Narada Michael Walden,,,February 1988
Whistle,Flo Rida,"April 24, 2012","Electropop, hip house",3:45,"Poe Boy, Atlantic","Tramar Dillard, David Glass, Marcus Killian, Justin Franks, Breyan Isaac, Antonio Mobley","DJ Frank E, Glass",,,24 04 2012
Who Can It Be Now?,Men at Work,25 May 1981,"Pop rock, new wave",3:23,Columbia,Colin Hay,Peter McIan,,,25 May 1981
Who's That Girl,Madonna,"June 29, 1987",Dance-pop,3:58,"Sire, Warner Bros.","Madonna, Patrick Leonard","Madonna, Patrick Leonard",,,29 06 1987
Why,Frankie Avalon,"November 9, 1959",Pop,2:30,"Chancellor, 1045","Peter De Angelis, Bob Marcucci",,,,09 11 1959
Wild Thing,the Troggs,22 April 1966,"Garage rock, hard rock, proto-punk, psychedelia",2:30,"Fontana, (UK), Atco, & Fontana (US)",Chip Taylor,Larry Page,,,22 April 1966
Wild Wild West,"Will Smith, Dru Hill, Kool Moe Dee","May 11, 1999","Country rap, pop rap",4:05,"Overbrook, Columbia","Kool Moe Dee, Rob Fusari, Will Smith, Stevie Wonder","Rob Fusari, Mark Wilson",,,11 05 1999
"Wild, Wild West",the Escape Club,1988,Dance-rock,5:44,"WEA, Atlantic",The Escape Club,Chris Kimsey,,,1988
Willow,Taylor Swift,"December 11, 2020",Chamber folk,3:34,Republic,"Taylor Swift, Aaron Dessner",Aaron Dessner,,,11 12 2020
Will It Go Round in Circles,Billy Preston,March 1973,"Funk, soul",3:42,A&M,"Billy Preston, Bruce Fisher",Billy Preston,,,March 1973
Will You Love Me Tomorrow,the Shirelles,November 1960,"Brill Building, doo-wop, pop, soul",2:41,Scepter,,Luther Dixon,Gerry Goffin,Carole King,November 1960
Winchester Cathedral,the New Vaudeville Band,26 August 1966,"Novelty, music hall, pop",2:20,Fontana,Geoff Stephens,Geoff Stephens,,,26 August 1966
Windy,the Association,"May 1, 1967",Psychedelic pop,2:53,Warner Bros.,Ruthann Friedman,Bones Howe,,,01 05 1967
Wind Beneath My Wings,Colleen Hewett,,Pop,,Avenue Records BA 223025,", L, Henley, J, Silbar)",,,,
Wishing Well,Terence Trent D'Arby,"June 8, 1987","Soul, pop, funk",3:33,CBS,"Terence Trent D'Arby, Sean Oliver","Terence Trent D'Arby, Martyn Ware",,,08 06 1987
Without Me,Halsey,"October 4, 2018","Pop, electropop",3:21,Capitol,"Ashley Frangipane, Brittany Amaradio, Amy Allen, Louis Bell, Justin Timberlake, Timothy Mosley, Scott Storch",Louis Bell,,,04 10 2018
Without You,Badfinger,9 November 1970,,4:43,Apple,"Pete Ham, Tom Evans",Geoff Emerick,,,9 November 1970
With Arms Wide Open,Creed,"April 18, 2000",,4:36,"Wind-up, Epic","Scott Stapp, Mark Tremonti","Ron Saint Germain, John Kurzweg",,,18 04 2000
With a Little Luck,Wings,20 March 1978,"Synth-pop, yacht rock",5:45,"Parlophone, (UK), Capitol, (US)",Paul McCartney,Paul McCartney,,,20 March 1978
With or Without You,U2,16 March 1987,Rock,4:56,Island,,"Daniel Lanois, Brian Eno",Bono,U2,16 March 1987
Womanizer,Britney Spears,"September 26, 2008","Electropop, dance-pop",3:44,"Jive, Zomba",The Outsyders,The Outsyders,,,26 09 2008
Woman in Love,Barbra Streisand,"August 16, 1980","Soft rock, post-disco",3:49,Columbia,"Barry Gibb, Robin Gibb",Gibb-Galuten-Richardson,,,16 08 1980
Wonderland by Night,Bert Kaempfert,August 1960,"Jazz, R&B",3:14,"Decca, 31141","Klaus Günter Neumann, Lincoln Chase, English lyrics)",,,,August 1960
Wooden Heart,Elvis Presley,23 September 1960,"Pop, folk",2:03,RCA,"Fred Wise, Ben Weisman, Kay Twomey, Bert Kaempfert",Steve Sholes,,,23 September 1960
Work,"Rihanna, Drake","January 27, 2016","Dancehall, reggae-pop, R&B",3:39,"Roc Nation, Westbury Road","Jahron Brathwaite, Matthew Samuels, Allen Ritter, Rupert Thomas Jr, Aubrey Graham, Robyn Fenty, Monte Moir",Boi-1da,,,27 01 2016
Wrecking Ball,Miley Cyrus,"August 25, 2013",Pop,3:41,RCA,"Maureen McDonald, Stephan Moccio, Wallace Skarbek, David Kim, Lukasz Gottwald, Henry Walter","Dr. Luke, Cirkut",,,25 08 2013
Yeah!,"Usher, Lil Jon, Ludacris","January 10, 2004",Crunk&B,4:13,Arista,"Christopher Bridges, James Phillips, Jonathan Smith, LaMarquis Jefferson, Patrick Smith, Sean Garrett",Lil Jon,,,10 01 2004
Yesterday,the Beatles,13 September 1965,"Chamber pop, pop rock",2:03,"Capitol, (US),  Parlophone, (UK)",Lennon–McCartney,George Martin,,,13 September 1965
"Yes, And?",Ariana Grande,"January 12, 2024","House, pop",3:34,Republic,"Ariana Grande, Max Martin, Ilya Salmanzadeh","Ariana Grande, Max Martin, Ilya",,,12 01 2024
You Ain't Seen Nothing Yet,Bachman–Turner Overdrive,September 1974,Hard rock,3:54,Mercury,Randy Bachman,Randy Bachman,,,September 1974
You Are Not Alone,Michael Jackson,"August 15, 1995","Pop, R&B",5:45,"Epic, Sony, MJJ","R, Kelly","R. Kelly, Michael Jackson",,,15 08 1995
You Are the Sunshine of My Life,Stevie Wonder,March 1973,"Pop-soul, easy listening",2:58,Tamla,Stevie Wonder,Stevie Wonder,,,March 1973
You Can't Hurry Love,the Supremes,"July 25, 1966","Pop, soul, R&B, Motown sound",2:44,"Motown, M 1097",Holland–Dozier–Holland,"Brian Holland, Lamont Dozier",,,25 07 1966
You Don't Bring Me Flowers,"Barbra Streisand, Neil Diamond",October 1978,Easy listening,3:25,Columbia,"Neil Diamond, Alan and Marilyn Bergman",Bob Gaudio,,,October 1978
You Don't Have to Be a Star,"Marilyn McCoo, Billy Davis Jr.",September 1976,"R&B, soul",4:41,ABC Records,"James Dean, John Glover",Don Davis,,,September 1976
You Give Love a Bad Name,Bon Jovi,"July 23, 1986","Glam metal, hard rock",3:42,Mercury,"Desmond Child, Jon Bon Jovi, Richie Sambora",Bruce Fairbairn,,,23 07 1986
You Haven't Done Nothin',Stevie Wonder,"August 7, 1974",Funk rock,3:29,Tamla Motown,Stevie Wonder,,,,07 08 1974
You Keep Me Hangin' On,the Supremes,"October 12, 1966","Rock, pop, psychedelic soul",2:40,Motown,Holland–Dozier–Holland,"Brian Holland, Lamont Dozier",,,12 10 1966
You Light Up My Life,Kasey Cisyk,"August 16, 1977",Pop,3:29,Arista,Joe Brooks,Joe Brooks,,,16 08 1977
You Make Me Feel Like Dancing,Leo Sayer,October 1976,"Disco, pop, R&B",3:412,"Chrysalis, (UK), Warner Bros., (US)","Leo Sayer, Vini Poncia",Richard Perry,,,October 1976
You Needed Me,Anne Murray,May 1978,Soft rock,3:41,"Capitol, 4574",Randy Goodrum,Jim Ed Norman,,,May 1978
You're Beautiful,James Blunt,18 May 2005,"Pop rock, soft rock, alternative rock",3:32,"Atlantic, Custard","James Blunt, Sacha Skarbek, Amanda Ghost",Tom Rothrock,,,18 May 2005
You're in Love,Wilson Phillips,"January 30, 1991","Pop, soft rock",3:59,SBK,"Glen Ballard, Wilson Phillips",Glen Ballard,,,30 01 1991
You're Makin' Me High,Toni Braxton,"May 13, 1996",R&B,4:27,"LaFace, Arista","Kenneth Edmonds, Bryce Wilson","Babyface, Bryce Wilson",,,13 05 1996
